beat,date,crimes
2533,01/07/2016,45
831,01/07/2016,49
825,01/07/2016,41
414,01/07/2016,53
833,01/07/2016,40
1232,01/07/2016,38
531,01/07/2016,34
1631,01/07/2016,20
2412,01/07/2016,28
2222,01/07/2016,41
815,01/07/2016,30
1512,01/07/2016,18
1934,01/07/2016,25
1511,01/07/2016,26
1834,01/07/2016,72
813,01/07/2016,54
934,01/07/2016,33
412,01/07/2016,46
913,01/07/2016,29
2515,01/07/2016,34
112,01/07/2016,53
1022,01/07/2016,45
1014,01/07/2016,38
311,01/07/2016,27
1115,01/07/2016,24
334,01/07/2016,35
431,01/07/2016,34
732,01/07/2016,35
1432,01/07/2016,34
924,01/07/2016,19
821,01/07/2016,26
1732,01/07/2016,38
2524,01/07/2016,26
131,01/07/2016,39
1822,01/07/2016,38
2031,01/07/2016,25
314,01/07/2016,20
714,01/07/2016,20
1633,01/07/2016,31
1653,01/07/2016,5
1612,01/07/2016,12
1222,01/07/2016,34
1211,01/07/2016,30
1532,01/07/2016,37
834,01/07/2016,70
212,01/07/2016,29
222,01/07/2016,33
215,01/07/2016,24
512,01/07/2016,42
814,01/07/2016,38
2431,01/07/2016,19
935,01/07/2016,23
113,01/07/2016,31
324,01/07/2016,36
712,01/07/2016,41
1814,01/07/2016,27
121,01/07/2016,29
613,01/07/2016,41
922,01/07/2016,33
933,01/07/2016,24
424,01/07/2016,34
1013,01/07/2016,33
1032,01/07/2016,14
915,01/07/2016,29
422,01/07/2016,43
411,01/07/2016,53
724,01/07/2016,22
2522,01/07/2016,21
1724,01/07/2016,36
414,01/03/2016,54
1925,01/07/2016,31
1832,01/07/2016,32
1931,01/07/2016,18
912,01/07/2016,35
2032,01/07/2016,12
1912,01/07/2016,18
1224,01/07/2016,35
1624,01/07/2016,31
713,01/07/2016,58
413,01/07/2016,35
1132,01/07/2016,68
533,01/07/2016,50
322,01/07/2016,36
1811,01/07/2016,26
423,01/07/2016,58
225,01/07/2016,32
1131,01/07/2016,39
611,01/07/2016,41
2423,01/07/2016,16
1034,01/07/2016,29
331,01/07/2016,42
2433,01/07/2016,28
1421,01/07/2016,23
1235,01/07/2016,23
2525,01/07/2016,19
2511,01/07/2016,25
2022,01/07/2016,13
2232,01/07/2016,31
122,01/07/2016,62
1651,01/07/2016,21
235,01/07/2016,20
133,01/07/2016,31
1711,01/07/2016,24
532,01/07/2016,23
524,01/07/2016,36
1135,01/07/2016,51
2424,01/07/2016,26
1431,01/07/2016,18
1031,01/07/2016,29
634,01/07/2016,32
1622,01/07/2016,51
914,01/07/2016,25
1933,01/07/2016,33
921,01/07/2016,28
221,01/07/2016,18
1631,01/06/2016,18
2412,01/08/2016,14
533,01/01/2013,63
2222,01/02/2016,48
422,01/06/2016,46
631,01/01/2016,66
1032,01/12/2012,17
321,01/10/2016,52
133,01/11/2016,26
524,01/02/2016,39
1711,01/02/2016,23
2512,01/03/2016,49
1414,01/02/2016,30
1814,01/06/2014,16
833,01/08/2016,43
1032,01/08/2016,21
2511,01/08/2016,19
1812,01/08/2016,24
1821,01/08/2016,29
1911,01/08/2016,25
312,01/08/2016,36
612,01/08/2016,50
712,01/08/2016,50
333,01/08/2016,29
1234,01/08/2016,34
2413,01/08/2016,46
422,01/08/2016,47
2534,01/08/2016,44
726,01/08/2016,26
1831,01/08/2016,56
221,01/08/2016,25
114,01/08/2016,24
